bos_len,fib_618,fib_786,min_align,require_s2,n,stop_rate,tp1_dest,tp1_bos,ev_dest,ev_bos,ev_split,ev_new_struct,ev_best,best_exit,fvg_stop_pct
7,0.5,0.85,2,False,68,0.9705882352941176,0.27941176470588236,0.4117647058823529,0.5660590922429889,0.21127832780752467,0.1261962594919,0.21127832780752467,0.5660590922429889,ev_dest,0.5
7,0.5,0.85,3,False,34,1.0,0.35294117647058826,0.38235294117647056,0.4999576083344226,0.21890869459277779,0.12934992260921907,0.21890869459277779,0.4999576083344226,ev_dest,0.5588235294117647
7,0.618,0.9,2,False,66,0.9696969696969697,0.22727272727272727,0.42424242424242425,0.4986368038625188,0.21670818909552758,0.04135208399826497,0.21670818909552758,0.4986368038625188,ev_dest,0.48484848484848486
14,0.5,0.786,0,False,123,0.967479674796748,0.14634146341463414,0.24390243902439024,0.44956442461059604,0.0908542327074556,0.08294011099297138,0.0908542327074556,0.44956442461059604,ev_dest,0.4065040650406504
14,0.618,0.786,0,False,79,0.9873417721518988,0.11392405063291139,0.21518987341772153,0.44043368638080826,0.22143199585522783,0.11119561046554223,0.22143199585522783,0.44043368638080826,ev_dest,0.43037974683544306
14,0.618,0.9,3,False,33,1.0,0.36363636363636365,0.42424242424242425,0.4010629975665889,-0.17735078224318232,0.05452033411777777,-0.17735078224318232,0.4010629975665889,ev_dest,0.6363636363636364
7,0.5,0.9,3,False,40,1.0,0.375,0.425,0.3864727146098668,0.18230993487678437,0.07114654016252539,0.18230993487678437,0.3864727146098668,ev_dest,0.575
10,0.5,0.786,2,False,56,0.9821428571428571,0.17857142857142858,0.25,0.3690244079587952,-0.15253107837613994,-0.10737015699113216,-0.15253107837613994,0.3690244079587952,ev_dest,0.5892857142857143
14,0.5,0.9,3,False,35,1.0,0.37142857142857144,0.4,0.3252075679796086,-0.29450859548131014,-0.004849416670366656,-0.29450859548131014,0.3252075679796086,ev_dest,0.6857142857142857
5,0.5,0.9,2,False,66,0.9696969696969697,0.22727272727272727,0.4090909090909091,0.3207196034430508,0.023382702024576284,-0.06357753215439019,0.023382702024576284,0.3207196034430508,ev_dest,0.48484848484848486
7,0.618,0.9,3,False,34,1.0,0.3235294117647059,0.4117647058823529,0.2207683755585478,0.2931831776443841,-0.03562828465503281,0.2931831776443841,0.2931831776443841,ev_bos,0.5588235294117647
7,0.618,0.85,2,False,50,0.98,0.2,0.36,0.26979377075186467,0.2234021818873218,-0.09498618786772939,0.2234021818873218,0.26979377075186467,ev_dest,0.48
5,0.618,0.85,2,False,41,0.975609756097561,0.21951219512195122,0.34146341463414637,0.1647227631415432,0.005639501298471215,-0.1289443453884798,0.005639501298471215,0.2682926829268293,ev_3r,0.4878048780487805
