bos_len,fib_618,fib_786,min_align,require_s2,n,stop_rate,tp1_dest,tp1_bos,ev_dest,ev_bos,ev_split,ev_new_struct,ev_best,best_exit,fvg_stop_pct
10,0.618,0.9,0,False,83,0.9879518072289156,0.0963855421686747,0.26506024096385544,-0.024511869161555844,-0.08413218980153005,-0.2800115839416841,-0.08413218980153005,-0.024511869161555844,ev_dest,0.42168674698795183
14,0.5,0.9,0,False,141,0.9361702127659575,0.09219858156028368,0.24822695035460993,-0.3298915787308376,-0.057288760942479915,-0.45571456762351165,-0.057288760942479915,-0.057288760942479915,ev_bos,0.3049645390070922
10,0.5,0.786,0,False,74,0.972972972972973,0.02702702702702703,0.12162162162162163,-0.6536150651359695,-0.060954434077292494,-0.6944026840400974,-0.060954434077292494,-0.060954434077292494,ev_bos,0.24324324324324326
7,0.5,0.9,0,False,106,0.9716981132075472,0.04716981132075472,0.3867924528301887,-0.6761538462333927,-0.06224173941275081,-0.7957213990723158,-0.06224173941275081,-0.06224173941275081,ev_bos,0.3867924528301887
5,0.5,0.85,2,False,34,0.9705882352941176,0.058823529411764705,0.4117647058823529,-0.3252960708033836,-0.07388328925226804,-0.5980204285578722,-0.07388328925226804,-0.07388328925226804,ev_bos,0.29411764705882354
7,0.5,0.85,0,False,77,0.961038961038961,0.03896103896103896,0.2727272727272727,-0.6525423330156042,-0.07693640360068578,-0.7849610509169459,-0.07693640360068578,-0.07693640360068578,ev_bos,0.3116883116883117
10,0.5,0.85,0,False,88,0.9772727272727273,0.045454545454545456,0.1590909090909091,-0.5608492894151934,-0.10291472548213268,-0.6583852658000366,-0.10291472548213268,-0.10291472548213268,ev_bos,0.3068181818181818
14,0.5,0.786,0,False,98,0.9795918367346939,0.04081632653061224,0.16326530612244897,-0.5947736612622342,-0.1111259160926038,-0.6618103921316921,-0.1111259160926038,-0.1111259160926038,ev_bos,0.1836734693877551
10,0.618,0.85,2,False,43,0.9767441860465116,0.09302325581395349,0.13953488372093023,-0.11522645275667495,-0.22634723796804748,-0.314834962567517,-0.22634723796804748,-0.11522645275667495,ev_dest,0.4186046511627907
10,0.5,0.786,2,False,52,0.9807692307692307,0.038461538461538464,0.09615384615384616,-0.5186060542319565,-0.12210034565034228,-0.5766499734416771,-0.12210034565034228,-0.12210034565034228,ev_bos,0.28846153846153844
14,0.618,0.786,2,False,48,1.0,0.041666666666666664,0.10416666666666667,-0.3333333333333333,-0.12548907726007727,-0.4298927146995353,-0.12548907726007727,-0.12548907726007727,ev_bos,0.25
10,0.618,0.786,2,False,34,0.9705882352941176,0.058823529411764705,0.11764705882352941,-0.26375043588416885,-0.12791817570052347,-0.35252348879315326,-0.12791817570052347,-0.12791817570052347,ev_bos,0.4117647058823529
10,0.618,0.786,0,False,46,0.9782608695652174,0.043478260869565216,0.15217391304347827,-0.4558155395665595,-0.18879496032187582,-0.5214304047601568,-0.18879496032187582,-0.13043478260869565,ev_3r,0.3695652173913043
14,0.5,0.9,2,False,103,0.9223300970873787,0.11650485436893204,0.1941747572815534,-0.13182331156768745,-0.15718949087001904,-0.2973342282744731,-0.15718949087001904,-0.13182331156768745,ev_dest,0.3300970873786408
10,0.5,0.9,0,False,111,0.963963963963964,0.07207207207207207,0.21621621621621623,-0.5358469440434208,-0.1473122253715192,-0.6452768448306483,-0.1473122253715192,-0.1473122253715192,ev_bos,0.34234234234234234
14,0.618,0.786,0,False,67,1.0,0.04477611940298507,0.13432835820895522,-0.42561221328270843,-0.1672805972409256,-0.511178070068707,-0.1672805972409256,-0.1672805972409256,ev_bos,0.22388059701492538
14,0.5,0.85,0,False,120,0.9583333333333334,0.06666666666666667,0.2,-0.5169321535632325,-0.1681706249295195,-0.6069682484680418,-0.1681706249295195,-0.1681706249295195,ev_bos,0.3
10,0.5,0.9,3,False,41,0.9512195121951219,0.14634146341463414,0.1951219512195122,-0.26835410103469454,-0.17378027220741718,-0.3721420412508533,-0.17378027220741718,-0.17378027220741718,ev_bos,0.2926829268292683
14,0.618,0.85,0,False,89,0.9775280898876404,0.06741573033707865,0.19101123595505617,-0.417928066557094,-0.17699884233391355,-0.518513961513972,-0.17699884233391355,-0.17699884233391355,ev_bos,0.3258426966292135
14,0.5,0.9,2,True,34,0.9117647058823529,0.14705882352941177,0.11764705882352941,-0.18172539666592263,-0.727224711276821,-0.4544750539713718,-0.727224711276821,-0.18172539666592263,ev_dest,0.3235294117647059
14,0.5,0.786,2,False,69,0.9855072463768116,0.043478260869565216,0.14492753623188406,-0.5271275436776448,-0.18912324674456396,-0.6064251889837703,-0.18912324674456396,-0.18912324674456396,ev_bos,0.21739130434782608
10,0.5,0.85,2,False,61,0.9836065573770492,0.06557377049180328,0.11475409836065574,-0.376307171615361,-0.19234313496108266,-0.5170148096787414,-0.19234313496108266,-0.19234313496108266,ev_bos,0.3114754098360656
7,0.618,0.9,2,False,50,0.98,0.08,0.4,-0.5690341614086676,-0.20261981832693585,-0.7200359680136829,-0.20261981832693585,-0.2,ev_3r,0.42
